jornada,region,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
23,Banca Oficial II,201810,1,0,0,1,0,0,540,0,0
23,Bogota Norte,201810,13,0,0,1,0,0,7580,0,0
23,Bogota Sur,201810,9,0,0,1,0,0,6093,0,0
23,Central,201810,10,0,0,1,0,0,3982,0,0
23,Costa,201810,5,1,0,0.833333333333333,0.166666666666667,0,2935,947,0
23,Occidente,201810,3,0,0,1,0,0,1684,0,0
23,Oriente,201810,16,0,0,1,0,0,8367,0,0
21,Antioquia,201811,83,31,4,0.703389830508475,0.26271186440678,0.0338983050847458,499269,222991,43084
21,Banca Oficial II,201811,1,0,0,1,0,0,9207,0,0
21,Bogota Norte,201811,51,32,4,0.586206896551724,0.367816091954023,0.0459770114942529,295899,273172,46741
21,Bogota Sur,201811,46,42,8,0.479166666666667,0.4375,0.0833333333333333,244073,375498,91599
21,Central,201811,60,27,16,0.58252427184466,0.262135922330097,0.155339805825243,242182,163643,124785
21,Costa,201811,67,26,4,0.690721649484536,0.268041237113402,0.0412371134020619,312158,170360,24708
21,Direccion Banca Premium,201811,15,0,0,1,0,0,11059,0,0
21,Occidente,201811,44,48,13,0.419047619047619,0.457142857142857,0.123809523809524,216962,390403,95623
21,Oriente,201811,40,30,12,0.487804878048781,0.365853658536585,0.146341463414634,222266,188857,83428
22,Antioquia,201811,5,0,0,1,0,0,10683,0,0
22,Banca Oficial II,201811,1,0,0,1,0,0,1678,0,0
22,Bogota Norte,201811,3,4,0,0.428571428571429,0.571428571428571,0,7214,16306,0
22,Bogota Sur,201811,7,6,2,0.466666666666667,0.4,0.133333333333333,9546,23521,8998
22,Central,201811,11,1,1,0.846153846153846,0.0769230769230769,0.0769230769230769,15442,2183,1468
22,Costa,201811,5,1,2,0.625,0.125,0.25,6879,3136,6784
22,Occidente,201811,4,0,0,1,0,0,11187,0,0
22,Oriente,201811,19,1,0,0.95,0.05,0,40453,2090,0
23,Antioquia,201811,2,0,0,1,0,0,631,0,0
23,Banca Oficial II,201811,1,0,0,1,0,0,379,0,0
23,Bogota Norte,201811,13,0,0,1,0,0,8930,0,0
23,Bogota Sur,201811,8,0,0,1,0,0,6123,0,0
23,Central,201811,10,0,0,1,0,0,3681,0,0
23,Costa,201811,5,1,0,0.833333333333333,0.166666666666667,0,2466,799,0
23,Occidente,201811,3,0,0,1,0,0,1023,0,0
23,Oriente,201811,15,0,0,1,0,0,6352,0,0
21,Antioquia,201812,68,44,6,0.576271186440678,0.372881355932203,0.0508474576271187,408702,329577,64052
21,Banca Oficial II,201812,1,0,0,1,0,0,12098,0,0
21,Bogota Norte,201812,43,38,6,0.494252873563218,0.436781609195402,0.0689655172413793,239589,335351,63079
21,Bogota Sur,201812,40,47,9,0.416666666666667,0.489583333333333,0.09375,212647,418972,97774
21,Central,201812,55,34,15,0.528846153846154,0.326923076923077,0.144230769230769,218667,210350,113658
21,Costa,201812,60,31,6,0.618556701030928,0.319587628865979,0.0618556701030928,296914,219048,42535
21,Direccion Banca Premium,201812,15,0,0,1,0,0,13235,0,0
21,Occidente,201812,33,55,17,0.314285714285714,0.523809523809524,0.161904761904762,146095,476380,135007
21,Oriente,201812,28,35,19,0.341463414634146,0.426829268292683,0.231707317073171,136015,281503,131807
22,Antioquia,201812,5,0,0,1,0,0,11221,0,0
22,Banca Oficial II,201812,1,0,0,1,0,0,1906,0,0
22,Bogota Norte,201812,8,3,2,0.615384615384615,0.230769230769231,0.153846153846154,3139,12293,9812
22,Bogota Sur,201812,5,6,4,0.333333333333333,0.4,0.266666666666667,2866,25645,15609
22,Central,201812,10,2,1,0.769230769230769,0.153846153846154,0.0769230769230769,12442,5163,1546
22,Costa,201812,5,1,2,0.625,0.125,0.25,7227,3030,6485
22,Occidente,201812,4,0,0,1,0,0,10136,0,0
22,Oriente,201812,17,3,0,0.85,0.15,0,36314,7409,0
23,Antioquia,201812,2,0,0,1,0,0,619,0,0
23,Banca Oficial II,201812,1,0,0,1,0,0,588,0,0
