llave,oficina_segun_terminal,numero_caja,mes,jornada,region,zona,nombre,tx,tasa_servicio,t_ocup
2208222,822,1,201903,22,Central,Sabana,0822 - Megacity,613,30.3250226654578,0.421131864408469
2208222,822,2,201903,22,Central,Sabana,0822 - Megacity,823,30.3250226654578,0.56540216053535
2208222,822,3,201903,22,Central,Sabana,0822 - Megacity,770,30.3250226654578,0.564257158185137
2208802,880,1,201903,22,Costa,No hay informacion,0880 - Monteria Norte,328,30.2631160572337,0.180637930883525
2208802,880,2,201903,22,Costa,No hay informacion,0880 - Monteria Norte,513,30.2631160572337,0.297391715478974
2208802,880,3,201903,22,Costa,No hay informacion,0880 - Monteria Norte,417,30.2631160572337,0.270179401644296
2208814,881,1,201903,22,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,45,30.3351235230935,0.494476311875929
2208814,881,2,201903,22,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,692,30.3351235230935,0.475246677525199
2208814,881,3,201903,22,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,597,30.3351235230935,0.410003275263792
2208814,881,4,201903,22,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,496,30.3351235230935,0.340639237070085
2208814,881,5,201903,22,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,32,30.3351235230935,0.351627599556217
2209002,900,1,201903,22,Oriente,Bucaramanga,0900 - Centro Comercial Cacique,471,30.4316881258941,0.39685353723926
2209002,900,2,201903,22,Oriente,Bucaramanga,0900 - Centro Comercial Cacique,1252,30.4316881258941,0.857110957020461
2209002,900,3,201903,22,Oriente,Bucaramanga,0900 - Centro Comercial Cacique,1073,30.4316881258941,0.734568735529517
2209072,907,1,201903,22,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,1031,30.2570593962999,0.709889430606509
2209072,907,2,201903,22,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,1023,30.2570593962999,0.70438107420995
2216015,1601,1,201903,22,Bogota Sur,No hay informacion,R1601 - Almaviva Carrera 47,148,31.222972972973,0.112859512989355
2216105,1610,1,201903,22,Costa,No hay informacion,R1610 - Almaviva Manga,337,31.0059347181009,0.181148116247169
2216155,1615,1,201903,22,Bogota Sur,No hay informacion,R1615 - Universidad Libre La Candelaria,791,31.6207332490518,0.41692054480516
2216165,1616,6,201903,22,Bogota Sur,No hay informacion,R1616 - Universidad Libre Bosque Popular,424,31.5283018867925,0.224137243167764
2216175,1617,7,201903,22,Bogota Sur,No hay informacion,R1617 - Politecnico GranColombiano,362,31.6685082872928,0.190515236101419
2300152,15,1,201903,23,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,200,29.7609682299546,0.672021146807645
2300152,15,2,201903,23,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,176,29.7609682299546,0.591378609190728
2300152,15,3,201903,23,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,154,29.7609682299546,0.517456283041887
2300152,15,4,201903,23,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,131,29.7609682299546,0.440173851159008
2300252,25,1,201903,23,Bogota Sur,Occidente,0025 - Plaza de las Americas,289,29.918188458729,0.386387030616729
2300252,25,2,201903,23,Bogota Sur,Occidente,0025 - Plaza de las Americas,398,29.918188458729,0.532117779188437
2300252,25,3,201903,23,Bogota Sur,Occidente,0025 - Plaza de las Americas,269,29.918188458729,0.359647443722838
2300252,25,4,201903,23,Bogota Sur,Occidente,0025 - Plaza de las Americas,413,29.918188458729,0.552172469358855
2300472,47,2,201903,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,306,29.7870264064294,0.410917150070342
2300472,47,3,201903,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,369,29.7870264064294,0.495517739790707
2300472,47,4,201903,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,287,29.7870264064294,0.385402686503883
2300472,47,5,201903,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,351,29.7870264064294,0.471346142727746
2300472,47,6,201903,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,429,29.7870264064294,0.576089730000578
2300852,85,1,201903,23,Bogota Norte,Autopista Nororiental,0085 - Centro Comercial Santa Fe,226,30.2147937411095,0.373988983569512
2300852,85,2,201903,23,Bogota Norte,Autopista Nororiental,0085 - Centro Comercial Santa Fe,214,30.2147937411095,0.354131161433078
