jornada,region,zona,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
21,Oriente,Magdalena Medio,201807,4,4,1,0.444444444444444,0.444444444444444,0.111111111111111,33291,29271,3971
21,Oriente,No hay informacion,201807,10,6,3,0.526315789473684,0.315789473684211,0.157894736842105,27044,40255,19023
21,Oriente,Norte de Santander y Arauca,201807,1,5,4,0.1,0.5,0.4,7685,48716,30183
22,Antioquia,Medellin El Poblado,201807,3,0,0,1,0,0,7422,0,0
22,Antioquia,Medellin Occidental,201807,1,0,0,1,0,0,3781,0,0
22,Antioquia,No hay informacion,201807,1,0,0,1,0,0,1546,0,0
22,Banca Oficial II,No hay informacion,201807,1,0,0,1,0,0,2313,0,0
22,Bogota Norte,Autopista Nororiental,201807,1,0,0,1,0,0,135,0,0
22,Bogota Norte,No hay informacion,201807,0,1,0,0,1,0,0,2906,0
22,Bogota Norte,Noroccidente,201807,0,0,1,0,0,1,0,0,5319
22,Bogota Norte,Occidental,201807,0,1,1,0,0.5,0.5,0,4958,4828
22,Bogota Norte,Santa Barbara,201807,1,1,0,0.5,0.5,0,2654,5278,0
22,Bogota Sur,Autopista Sur,201807,0,0,2,0,0,1,0,0,6953
22,Bogota Sur,Calle 26,201807,1,1,0,0.5,0.5,0,1401,4736,0
22,Bogota Sur,No hay informacion,201807,4,1,0,0.8,0.2,0,3121,2694,0
22,Bogota Sur,Occidente,201807,0,1,1,0,0.5,0.5,0,4577,3798
22,Bogota Sur,Teusaquillo,201807,0,0,1,0,0,1,0,0,6020
22,Bogota Sur,Zona Industrial,201807,0,2,1,0,0.666666666666667,0.333333333333333,0,8435,5535
22,Central,Cundinamarca,201807,1,1,0,0.5,0.5,0,1463,2378,0
22,Central,Girardot,201807,1,0,1,0.5,0,0.5,312,0,1422
22,Central,Huila - Caqueta,201807,1,0,0,1,0,0,1891,0,0
22,Central,Neiva - Tolima,201807,3,0,0,1,0,0,4063,0,0
