llave,jornada,region,zona,nombre,mes,total_tx,t_ocup,num_cajeros
2216155,22,Bogota Sur,No hay informacion,R1615 - Universidad Libre La Candelaria,201903,791,0.41692054480516,1
2216155,22,Bogota Sur,No hay informacion,R1615 - Universidad Libre La Candelaria,201903,791,0.41692054480516,1
2216155,22,Bogota Sur,No hay informacion,R1615 - Universidad Libre La Candelaria,201903,791,0.41692054480516,1
2216155,22,Bogota Sur,No hay informacion,R1615 - Universidad Libre La Candelaria,201903,791,0.41692054480516,1
2300152,23,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,201903,661,0.740343296733089,3
2300252,23,Bogota Sur,Occidente,0025 - Plaza de las Americas,201903,1369,0.457581180721715,4
2300472,23,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,201903,1742,0.467854689818651,5
2300852,23,Bogota Norte,Autopista Nororiental,0085 - Centro Comercial Santa Fe,201903,703,0.290834353373193,4
2301312,23,Bogota Norte,Santa Barbara,0131 - Centro Comercial Palatino,201903,539,0.239511119355304,3
2301372,23,Oriente,Norte de Santander y Arauca,0137 - Arauca,201903,753,0.499325437012901,2
2301512,23,Costa,Barranquilla Centro,0151 - Centro Nelmar,201903,968,0.635464378963074,2
2301612,23,Bogota Sur,Zona Industrial,0161 - Ciudad Tunal,201903,1213,0.531933877425594,3
2301682,23,Oriente,Magdalena Medio,0168 - Barrancabermeja,201903,925,0.418731265675659,3
2301792,23,Central,Cundinamarca,"0179 - Centro Comercial CasaBlanca
",201903,575,0.37970140683319,2
2301872,23,Costa,Barranquilla Norte,0187 - Centro Comercial Buenavista,201903,1193,0.528215034608176,3
2301912,23,Bogota Norte,Occidental,0191 - Centro Comercial Titan Plaza,201903,1570,0.524837645054828,4
2301982,23,Central,Villavicencio,0198 - Unicentro Villavicencio,201903,790,0.354174647088033,3
2302012,23,Central,Huila - Caqueta,0201 - Gran Plaza Florencia,201903,434,0.240409455250932,3
2302172,23,Antioquia,Medellin El Poblado,0217 - Centro Comercial Oviedo,201903,493,0.217844402617191,3
2302282,23,Bogota Norte,Noroccidente,0228 - Centro Comercial Paseo San Rafael,201903,435,0.192742551566081,3
2302372,23,Bogota Norte,Noroccidente,0237 - Centro Comercial Plaza Imperial,201903,1734,0.568782702457295,4
2302392,23,Bogota Norte,Autopista Nororiental,0239 - Centro Chia,201903,618,0.275171295795958,3
2302722,23,Bogota Sur,Autopista Sur,0272 - Soacha,201903,968,0.625809123088225,2
2302742,23,Bogota Sur,Zona Industrial,0274 - Centro Comercial Hayuelos,201903,1447,0.482566779598516,4
2302752,23,Bogota Norte,Occidental,0275 - Portal de La 80,201903,545,0.222657421289355,4
2302822,23,Oriente,Boyaca,0282 - Duitama,201903,953,0.422285302459664,3
2302912,23,Bogota Norte,Carrera Septima,0291 - Centro Comercial Andino,201903,1055,0.466017689851887,3
2302992,23,Bogota Sur,Calle 26,0299 - Centro Comercial Gran Estacion,201903,1015,0.454318946033846,5
2303092,23,Central,Tolima,0309 - Centro Comercial La Estacion Ibague,201903,1137,0.747394923975256,2
2303152,23,Costa,No hay informacion,0315 - Centro Comercial Alamedas,201903,661,0.438191756092669,2
2303252,23,Bogota Norte,Autopista Nororiental,0325 - Centro Comercial Fontanar,201903,612,0.276993732320151,3
2303642,23,Banca Oficial II,No hay informacion,0364 - Los Centauros,201903,807,0.270126923555519,4
2303892,23,Costa,Bolivar - San Andres/Prov.,0389 - La Plazuela,201903,1136,0.734342049108032,2
2303912,23,Occidente,Cali Norte,0391 - Chipichape,201903,459,0.383810026962035,4
2303932,23,Antioquia,Medellin El Poblado,0393 - Centro Comercial Santafe Medellin,201903,324,0.211261823304488,2
2303962,23,Central,Cundinamarca,0396 - Fusagasuga Centro,201903,812,0.537822912843101,2
2304092,23,Oriente,Casanare y Bucaramanga,0409 - Unicentro Yopal,201903,586,0.387317843446876,2
2304254,23,Bogota Sur,No hay informacion,0425 - Oficina de Recaudos y Pagos Fontibon,201903,556,0.455093628547874,2
2304462,23,Oriente,Magdalena Medio,0446 - Ocana,201903,691,0.230644865230413,4
2304592,23,Occidente,Cali Sur,0459 - Pasoancho,201903,475,0.26407420411985,3
2304622,23,Oriente,Norte de Santander y Arauca,0462 - Pamplona,201903,255,0.137881679389313,3
2304862,23,Occidente,Cali Sur,0486 - Unicentro,201903,654,0.270528259879573,4
2305512,23,Central,Girardot,0551 - Centro Comercial Unicentro Girardot,201903,476,0.618553098553099,1
2305824,23,Oriente,No hay informacion,0582 - Oficina de Recaudos y Pagos Cucuta,201903,857,0.377744689605514,3
2305832,23,Central,No hay informacion,0583 - Tolemaida,201903,94,0.125868945868946,1
2305962,23,Oriente,Boyaca,0596 - Sogamoso,201903,586,0.394209620020664,2
2306002,23,Oriente,Bucaramanga,0600 - Centro Comercial Cabecera,201903,856,0.280666487915119,4
2306012,23,Oriente,Norte de Santander y Arauca,0601 - Centro Comercial Ventura Plaza,201903,1058,0.467482720457725,3
2306062,23,Bogota Sur,Occidente,0606 - Tintal Plaza,201903,1344,0.587454997804771,3
2306142,23,Oriente,Norte de Santander y Arauca,0614 - Centro Comercial Unicentro Cucuta,201903,857,0.382018152973915,3
2306152,23,Bogota Norte,Autopista Nororiental,0615 - Centro Comercial Santafe II,201903,583,0.257477037289548,3
2306162,23,Oriente,Boyaca,0616 - Tunja,201903,938,0.413713264682372,3
2306382,23,Central,Neiva - Tolima,0638 - Centro Comercial Santa Lucia Plaza,201903,242,0.199495844120452,2
2306634,23,Bogota Norte,No hay informacion,0663 - Oficina de Recaudos y Pagos Calle 128,201903,690,0.461784675072745,2
2306942,23,Bogota Norte,Santa Barbara,0694 - Unicentro Bogota Entrada 7,201903,875,0.387633694069996,3
2308072,23,Oriente,Boyaca,0807 - Centro Comercial Unicentro Tunja,201903,754,0.502711115041118,2
2308222,23,Central,Sabana,0822 - Megacity,201903,718,0.31652483575858,3
2308814,23,Oriente,No hay informacion,0881 - Oficina de Recaudos y Pagos Cabecera,201903,653,0.287638031636817,3
2309002,23,Oriente,Bucaramanga,0900 - Centro Comercial Cacique,201903,971,0.424602740342937,3
2309072,23,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,201903,667,0.293235124491242,3
2100002,21,Bogota Sur,Teusaquillo,0000 - Oficina Principal,201904,6077,0.606900852292243,3
2100022,21,Bogota Sur,Calle 26,0002 - Centro ADM CAN,201904,7071,0.701763973722084,3
2100042,21,Bogota Norte,Chapinero,0004 - Calle 53 -Exito,201904,7478,0.731925018124542,3
2100052,21,Bogota Norte,Noroccidente,0005 - Suba,201904,7381,0.726407118792727,3
2100062,21,Bogota Norte,Santa Barbara,0006 - Cedritos,201904,7447,0.740622745975993,3
2100072,21,Bogota Norte,Carrera Septima,0007 - Antiguo Country,201904,8378,0.83018995841178,3
2100082,21,Bogota Norte,Carrera Septima,0008 - El Chico,201904,6985,0.693216272818205,3
2100092,21,Bogota Norte,Carrera Septima,0009 - Calle 100,201904,6044,0.598092616596747,3
2100102,21,Bogota Sur,Centro Oriental,0010 - Avenida Caracas,201904,6774,0.681415765986707,3
2100112,21,Central,Sabana,0011 - Bacata Funza,201904,9037,0.894406368615061,3
2100122,21,Bogota Norte,Calle 72,0012 - Pasadena,201904,6474,0.643118108902359,3
2100132,21,Oriente,Magdalena Medio,0013 - Galan,201904,8991,0.784294639286314,3
2100142,21,Bogota Norte,Calle 72,0014 - Los Heroes,201904,6467,0.640751523240944,3
2100152,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,201904,12282,0.802526250460695,4
2100162,21,Bogota Norte,Noroccidente,0016 - Cota,201904,10718,0.694088793995241,4
2100172,21,Bogota Sur,Calle 26,0017 - CUAN,201904,5304,0.528293995429983,3
2100182,21,Bogota Sur,Zona Industrial,0018 - Zona Industrial Montevideo,201904,8463,0.837558925092644,3
2100192,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,201904,10354,0.772829609901879,4
2100202,21,Bogota Sur,Zona Industrial,0020 - San Jose,201904,5596,0.552348598615813,3
2100212,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,201904,11627,0.856263115944251,4
